Description,Label,sValue,Value
Phenotyping analysis cohorts,ana_cohorts.hist_phen_profiles_match_same_vs_diff_pat.initial_uti_cultures,90,90
Phenotyping analysis cohorts,ana_cohorts.hist_phen_profiles_match_same_vs_diff_pat.valid_uti_cultures,89,89
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.initial_fobt_isolates,397,397
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.valid_fobt_isolates,360,360
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.initial_uti_isolates,0,0
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.valid_uti_isolates,0,0
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.initial_fobt_patients,20,20
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.valid_fobt_patients,19,19
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.initial_uti_patients,0,0
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.valid_uti_patients,0,0
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.initial_uti_cultures,0,0
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.valid_uti_cultures,0,0
